dioxidocarbono	x1	x2	x3	x4	x5
107	188	2	27.44	28.57	5
107	188	2	27.44	28.57	0
123	188	2	25.62	24.77	2
123	188	2	25.62	24.77	2
135	156	2.5	24	21.9	5
135	156	2.5	24	21.9	6
119	90	1.5	23.8	26.7	7
119	90	1.5	23.8	26.7	7
127	90	1.5	23.2	26.1	7
134	110	1.3	21.8	25.4	10
159	105	1.2	17.5	22.8	15
151	125	1.4	17.3	27	25
151	125	1.4	17.3	27	25
157	102	1.5	17.3	24	9
147	106	1.5	17.3	24	9
147	106	1.5	17.3	24	9
147	106	1.5	17.3	24	9
147	106	1.5	17.3	24	9
147	106	1.5	17.3	24	9
140	148	1.4	17.14	28.41	13
140	148	1.4	17.14	28.41	13
150	140	1.4	17.1	27.9	41
166	140	2	17	26.1	95
166	140	2	17	26.1	95
143	148	1.4	16.99	27.12	31
154	110	1.2	16.9	26.7	19
154	110	1.2	16.9	26.7	19
151	107	1.5	16.59	24.15	36
151	107	1.5	16.59	24.15	36
168	118	1.6	16.5	21.7	7
168	118	1.6	16.5	21.7	7
168	118	1.6	16.5	21.7	7
156	148	1.4	16.45	26.88	58
164	102	1.5	16.3	23.5	8
154	106	1.5	16.3	23.5	8
154	106	1.5	16.3	23.5	8
154	106	1.5	16.3	23.5	8
158	140	1.4	16.2	26.7	23
149	148	1.4	16.14	26.1	11
177	118	1.6	16	19.9	6
177	118	1.6	16	19.9	6
163	150	1.4	15.9	25.2	71
163	150	1.4	15.9	25.2	71
162	148	1.4	15.84	25.87	10
169	129	1.8	15.7	23.25	19
157	153	2	15.7	23.7	5
158	153	2	15.7	23.2	5
169	129	1.8	15.7	23.3	19
157	155	2	15.7	23.7	5
158	155	2	15.7	23.2	5
